type(String),continent(String),iso_country(String),iso_region(String),municipality(String),gps_code(String),local_code(String),coordinates(String),ident(String),name(String),elevation_ft(Integer)
small_airport,NA,US,US-CA,Barstow,00CA,00CA,"35.350498199499995, -116.888000488",00CA,Goldstone /Gts/ Airport,3038
small_airport,NA,US,US-OK,Alex,00AS,00AS,"34.9428028, -97.8180194",00AS,Fulton Airport,1100
small_airport,NA,US,US-AZ,Cordes,00AZ,00AZ,"34.305599212646484, -112.16500091552734",00AZ,Cordes Airport,3810
small_airport,NA,US,US-CA,Biggs,00CL,00CL,"39.427188, -121.763427",00CL,Williams Ag Airport,87
heliport,NA,US,US-CA,Pine Valley,00CN,00CN,"32.7273736, -116.4597417",00CN,Kitchen Creek Helibase Heliport,3350
small_airport,NA,US,US-FL,Bushnell,00FA,00FA,"28.64550018310547, -82.21900177001953",00FA,Grass Patch Airport,53
heliport,NA,US,US-FL,Riverview,00FD,00FD,"28.846599578857422, -82.34539794921875",00FD,Ringhaver Heliport,25
small_airport,NA,US,US-FL,Okeechobee,00FL,00FL,"27.230899810791016, -80.96920013427734",00FL,River Oak Airport,35
small_airport,NA,US,US-GA,Lithonia,00GA,00GA,"33.76750183105469, -84.06829833984375",00GA,Lt World Airport,700
heliport,NA,US,US-GA,Hiram,00GE,00GE,"33.88420104980469, -84.73390197753906",00GE,Caffrey Heliport,957
heliport,NA,US,US-HI,Kailua/Kona,00HI,00HI,"19.832715, -155.980233",00HI,Kaupulehu Heliport,43
small_airport,NA,US,US-ID,Clark Fork,00ID,00ID,"48.145301818847656, -116.21399688720703",00ID,Delta Shores Airport,2064
small_airport,NA,US,US-KS,McDonald,00IG,00IG,"39.724028, -101.395994",00IG,Goltl Airport,3359
heliport,NA,US,US-IN,Chesterton,00II,00II,"41.644500732421875, -87.122802734375",00II,Bailey Generation Station Heliport,600
small_airport,NA,US,US-IL,Polo,00IL,00IL,"41.97840118408203, -89.5604019165039",00IL,Hammer Airport,840
heliport,NA,US,US-IN,Hobart,00IN,00IN,"41.51139831542969, -87.2605972290039",00IN,St Mary Medical Center Heliport,634
small_airport,NA,US,US-IL,Kings,00IS,00IS,"40.02560043334961, -89.1229019165039",00IS,Hayenga's Cant Find Farms Airport,820
small_airport,NA,US,US-KS,Gardner,00KS,00KS,"38.72779846191406, -94.93049621582031",00KS,Hayden Farm Airport,1100
small_airport,NA,US,US-KY,Stanford,00KY,00KY,"37.409400939941406, -84.61969757080078",00KY,Robbins Roost Airport,1265
heliport,NA,US,US-LA,Gonzales,00LA,00LA,"30.191944, -90.980833",00LA,Shell Chemical East Site Heliport,15
heliport,NA,US,US-IL,Chatham,00LL,00LL,"39.66529846191406, -89.70559692382812",00LL,Ac & R Components Heliport,600
small_airport,NA,US,US-LA,Esterwood,00LS,00LS,"30.13629913330078, -92.42939758300781",00LS,Lejeune Airport,12
small_airport,NA,US,US-MD,Federalsburg,00MD,00MD,"38.75709915161133, -75.75379943847656",00MD,Slater Field,45
heliport,NA,US,US-MI,Ludington,00MI,00MI,"43.94940185546875, -86.41670227050781",00MI,Dow Chemical Heliport,588
small_airport,NA,US,US-MN,Battle Lake,00MN,00MN,"46.29999923706055, -95.70030212402344",00MN,Battle Lake Municipal Airport,1365
small_airport,NA,US,US-MO,Alba,00MO,00MO,"37.202800750732, -94.412399291992",00MO,Cooper Flying Service Airport,970
small_airport,NA,US,US-NJ,Bridgeton,00N,00N,"39.473201751708984, -75.1852035522461",00N,Bucks Airport,105
small_airport,NA,US,US-NC,Louisburg,00NC,00NC,"36.085201263427734, -78.37139892578125",00NC,North Raleigh Airport,348
heliport,NA,US,US-NJ,New Brunswick,00NJ,00NJ,"40.52090072631836, -74.47460174560547",00NJ,Colgate-Piscataway Heliport,78
seaplane_base,NA,US,US-NY,Beekmantown,00NK,00NK,"44.8118612, -73.3698057",00NK,Cliche Cove Seaplane Base,96
small_airport,NA,US,US-NY,West Bloomfield,00NY,00NY,"42.90010070800781, -77.49970245361328",00NY,Weiss Airfield,1000
small_airport,NA,US,US-OH,Wauseon,00OH,00OH,"41.59090042114258, -84.14219665527344",00OH,Exit 3 Airport,785
heliport,NA,US,US-OH,Dayton,00OI,00OI,"39.74530029296875, -84.1874008178711",00OI,Miami Valley Hospital Heliport,905
small_airport,NA,US,US-OK,Sandsprings,00OK,00OK,"36.198598, -96.217693",00OK,Gull Bay Landing Airport,960
heliport,NA,US,US-OR,Salem,00OR,00OR,"44.932899475097656, -123.12999725341797",00OR,Steel Systems Heliport,195
heliport,NA,US,US-PA,Coatesville,00PA,00PA,"39.94889831542969, -75.74690246582031",00PA,R J D Heliport,402
small_airport,NA,US,US-PA,Mercer,00PN,00PN,"41.2995, -80.211111",00PN,Ferrell Field,1301
small_airport,NA,US,US-OR,Mc Kenzie Bridge,00S,00S,"44.183200836199994, -122.088996887",00S,Mc Kenzie Bridge State Airport,1620
small_airport,NA,US,US-SC,Sumter,00SC,00SC,"34.0093994140625, -80.26719665527344",00SC,Flying O Airport,150
small_airport,NA,US,US-SD,Gary,00SD,00SD,"44.809158, -96.498897",00SD,Homan Field,1590
