"address","authors","authorsori","booktitle","date","editor","institution","journal","month","note","pages","publisher","tech","title","type","volume","year"
"?","m ahlskog j paloheimo h stubb p dyreklev m fahlman o","m ahlskog j paloheimo h stubb p dyreklev m fahlman o","?","1994","?","?","andersson j appl phys","?","?","893","?","?","inganas and m r","?","76","?"
"?","m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson","m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson","?","1994","?","?","j appl phys","?","?","893","?","?","?","?","76","?"
"?","m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson","m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson","?","1994","?","?","j appl phys","?","?","893","?","?","?","?","76","?"
"?","m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson","m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson","?","1994","?","?","j appl phys","?","?","893","?","?","?","?","76","?"
"?","m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson","m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson","?","1994","?","?","j appl phys","?","?","893","?","?","?","?","76","?"
"?","m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson","m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson","?","1994","?","?","j appl phys","?","?","893","?","?","?","?","76","?"
"?","m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson","m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson","?","1994","?","?","j appl phys","?","?","893","?","?","?","?","76","?"
"?","m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson","m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson","?","1994","?","?","journal of applied physics","?","?","893","?","?","?","?","76","?"
"new york","c ray asfahl","c ray asfahl","?","1992","?","?","?","?","second edition","?","john wiley and sons","?","robots and manufacturing automation","?","?","?"
"milan","steve benford and lennart e fahlen","steve benford and lennart e fahlen","in proceedings of ecscw 93","1993","?","?","?","?","?","?","?","?","a spatial model of interaction in large virtual environments","?","?","?"
"stockholm","benford s and fahln l","benford s and fahln l","6th ercim workshop","34486","?","?","?","?","?","?","?","?","viewpoints actionpoints and spatial frames for collaborative user interfaces","?","?","?"
"denver colorado usa","benford s bowers j fahln l greenhalgh c and snowdon d","benford s bowers j fahln l greenhalgh c and snowdon d","in proc acm conference on human factors in computing systems chi95","may 7 11 1995","?","?","?","?","?","?","?","?","user embodiment in collaborative virtual environments","?","?","?"
"?","benford s bowers j fahlen l e greenhalgh c snowdon d","benford s bowers j fahlen l e greenhalgh c snowdon d","in proceedings of chi95","1995","?","?","?","?","?","242 249","?","?","user embodiment in collaborative virtual environments","?","?","?"
"?","benford s bowers j fahlen l e greenhalgh c snowdon d","benford s bowers j fahlen l e greenhalgh c snowdon d","in proceedings of chi95","?","?","?","?","?","?","?","?","?","user embodiment in collaborative virtual environments","?","242 249","?"
"?","steve benford john bowers lennart fahlen chris greenhalg john mariani and tom rodden","steve benford john bowers lennart fahlen chris greenhalg john mariani and tom rodden","?","1995","?","?","presence","?","?","364 386","?","?","networked virtual realitty and cooperative work","?","4 4","?"
"paderborn germany","brown d f moura h watt d a","brown d f moura h watt d a","proceedings of the international workshop on compiler construction cc 92","1992b","in u kas tens p pfahler eds","?","?","?","vol 641 of lecture notes in computer science","pp 95 109","springer verlag","?","actress an action semantics directed compiler generator","?","?","?"
"paderborn germany","brown d f moura h watt d a","brown d f moura h watt d a","proceedings of the international workshop on compiler construction cc 92","1992b","in u kas tens p pfahler eds","?","?","?","vol 641 of lecture notes in computer science","pp 95 109","springer verlag","?","actress an action semantics directed compiler generator","?","?","?"
"paderborn frg","d f brown h moura and d a watt actress","d f brown h moura and d a watt actress","proceedings of the 4th international conference on compiler construction cc 92","33878","in u kastens and p pfahler editors","?","?","?","volume 641 of lecture notes in computer science","pages 95 109","springer verlag","?","an action semantics directed compiler generator","?","?","?"
"?","b buth k h buth m franzle b v karger y lakhneche h langmaack and m muller olm","b buth k h buth m franzle b v karger y lakhneche h langmaack and m muller olm","compiler construction","1992","in u kastens and p pfahler editors","?","?","?","volume 641 of lecture notes in computer science","?","springer verlag","?","provably correct compiler development and implementation","?","?","?"
"?","b buth et al","b buth et al","compiler construction","1992","in u karstens and p pfahler eds","?","?","?","?","pp 141 155","springer verlag lncs 641","?","provably correct compiler implementation","?","?","?"
"?","b buth et al","b buth et al","compiler construction","1992","in u karstens and p pfahler eds","?","?","?","?","pp 141 155","springer verlag lncs 641","?","provably correct compiler implementation","?","?","?"
"?","b buth et al","b buth et al","compiler construction","1992","in u karstens and p pfahler eds","?","?","?","?","pp 141 155","springer verlag lncs 641","?","provably correct compiler implementation","?","?","?"
"?","bettina buth karl heinz buth martin franzle burghard von karger yassine lakhneche hans langmaack and markus muller olm","bettina buth karl heinz buth martin franzle burghard von karger yassine lakhneche hans langmaack and markus muller olm","compiler construction number 641 in lecture notes in computer science","1992","in u kastens and p pfahler editors","?","?","?","?","pages 141 155","springer verlag","?","provably correct compiler development and implementation","?","?","?"
"ny","conklin j","conklin j","in computer supported cooperative work a book of readings","1985","ed irene greit","?","?","?","?","513","morgan kaufmann","?","hypertext an introduction and survey","?","?","?"
"hillsdale nj","cramer n l","cramer n l","proceedings of an international conference on genetic algorithms and their applications","1985","in grefenstette j editor","?","?","?","?","pages 183 187","lawrence erlbaum associates","?","a representation for the adaptive generation of simple sequential programs","?","?","?"
"pittsburgh pa","daelemans w van den bosch a and weijters t","daelemans w van den bosch a and weijters t","?","1995","s e and lebiere c","school of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 90 100","1990 the cascade correlation learning architecture","?","?","?"
"?","?","?","proceedings of the third international conference on genetic algorithms","?","in j schaffer ed","?","?","?","?","pp 42 50","morgan kaufmann","?","an investigation of niche and species formation in genetic function op timization","?","?","?"
"?","?","?","proceedings of the third international conference on genetic algorithms","?","in j schaffer ed","?","?","?","?","pp 42 50","morgan kaufmann","?","an investigation of niche and species formation in genetic function optimization","?","?","?"
